585	1	16042	16655	.	567	.	4.40325	8.9	-1
590	1	724143	724308	.	864	.	7.49775	4.6	-1
590	1	754296	757949	.	459	.	3.27886	13.5	-1
590	1	754340	754481	.	948	.	8.37515	4.9	-1
590	1	765431	765556	.	879	.	7.64771	2.2	-1
590	1	766143	770508	.	481	.	3.5041	13.4	-1
590	1	776793	776918	.	879	.	7.64771	2.2	-1
590	1	777028	777131	.	983	.	8.73524	2.4	-1
590	1	778033	778690	.	810	.	6.93285	14.8	-1
590	1	779459	779574	.	895	.	7.82374	1.8	-1
590	1	783002	783228	.	789	.	6.71812	6.1	-1
590	1	783521	786010	.	466	.	3.34371	15.1	-1
591	1	787327	787568	.	704	.	5.83331	3.9	-1
591	1	789226	789467	.	884	.	7.69997	10.5	-1
591	1	789761	791114	.	1000	.	9.10204	14.5	-1
591	1	825742	825961	.	687	.	5.64899	2.4	-1
591	1	825841	825980	.	882	.	7.68654	3.2	-1
591	1	840588	842811	.	426	.	2.93434	14.3	-1
591	1	871646	908491	.	528	.	3.99256	12.7	-1
592	1	948494	950017	.	393	.	2.58458	4.7	-1
592	1	951531	951753	.	1000	.	12.6651	16	-1
592	1	979728	980360	.	631	.	5.07166	14.3	-1
592	1	980903	981174	.	662	.	5.39506	3.7	-1
592	1	982463	982848	.	635	.	5.1121	6.5	-1
592	1	987214	988581	.	532	.	4.03134	14.7	-1
592	1	989276	989614	.	672	.	5.49022	6.5	-1
592	1	1012558	1032963	.	281	.	1.42202	7.9	-1
592	1	1035818	1036031	.	677	.	5.54411	1.9	-1
592	1	1047237	1047519	.	872	.	7.57752	12.8	-1
592	1	1048072	1048306	.	860	.	7.44969	9.1	-1
9	1	1048488	1049365	.	945	.	8.33558	14.9	-1
593	1	1143657	1179093	.	481	.	3.50386	12.6	-1
74	1	1179594	1217936	.	525	.	3.95841	13.7	-1
594	1	1222492	1287872	.	454	.	3.2245	12.5	-1
594	1	1230642	1230870	.	855	.	7.3991	8.5	-1
594	1	1231371	1231545	.	827	.	7.10994	4.2	-1
594	1	1232390	1232510	.	909	.	7.96636	2.4	-1
594	1	1233157	1233282	.	965	.	8.54744	3.9	-1
594	1	1234526	1234658	.	840	.	7.24215	1.8	-1
594	1	1242183	1242334	.	788	.	6.70329	1.9	-1
594	1	1243769	1251874	.	845	.	7.29886	13.7	-1
594	1	1252955	1253241	.	975	.	8.65125	15	-1
594	1	1253914	1255391	.	927	.	8.14752	15	-1
594	1	1259738	1259862	.	841	.	7.25589	1.4	-1
594	1	1275373	1278091	.	1000	.	9.70322	14	-1
594	1	1275669	1277408	.	1000	.	13.549	14.5	-1
594	1	1277531	1277691	.	819	.	7.02914	3.1	-1
594	1	1306639	1307229	.	721	.	6.00456	15	-1
594	1	1307717	1308075	.	838	.	7.22549	15	-1
594	1	1308334	1309687	.	811	.	6.94082	14.5	-1
594	1	1310092	1310596	.	669	.	5.46711	12.7	-1
595	1	1311514	1312457	.	477	.	3.45867	7.6	-1
595	1	1316580	1317790	.	466	.	3.3461	10.2	-1
595	1	1320032	1345041	.	944	.	8.3285	13.1	-1
595	1	1409054	1409550	.	700	.	5.78204	14.6	-1
595	1	1412407	1412893	.	878	.	7.6366	15.7	-1
595	1	1413550	1414037	.	654	.	5.31155	11.1	-1
595	1	1414469	1416224	.	661	.	5.383	14.6	-1
595	1	1416745	1432541	.	641	.	5.17262	12.9	-1
596	1	1450786	1450900	.	949	.	8.38564	2.7	-1
596	1	1450951	1451279	.	803	.	6.8577	12.4	-1
596	1	1452355	1452571	.	819	.	7.02914	6.5	-1
596	1	1453052	1454453	.	1000	.	14.9313	14.4	-1
596	1	1453146	1454739	.	1000	.	13.3082	15.4	-1
596	1	1455241	1455398	.	1000	.	8.95432	7.7	-1
596	1	1455566	1455800	.	883	.	7.69	9.9	-1
596	1	1455875	1455990	.	989	.	8.80171	3.6	-1
596	1	1456063	1456498	.	901	.	7.88557	14.7	-1
596	1	1456817	1457283	.	677	.	5.55091	11.8	-1
596	1	1457986	1458275	.	612	.	4.86446	2.4	-1
596	1	1458711	1459413	.	760	.	6.40834	14.7	-1
