Chromosome	 Peak-Start	 Peak-End	 Chromosome	 Gene-Start	 Gene-End	 Gene-ID	 Gene-Name	 Distance-of-Gene-to-Nearest-Peak
1	713192	713526	1	699737	714006	ENSG00000228327.2	RP11-206L10.2	0
1	713888	714041	1	699737	714006	ENSG00000228327.2	RP11-206L10.2	0
1	714540	714675	1	714150	745940	ENSG00000237491.4	RP11-206L10.9	0
1	715173	715315	1	714150	745940	ENSG00000237491.4	RP11-206L10.9	0
1	715534	715540	1	714150	745940	ENSG00000237491.4	RP11-206L10.9	0
1	716133	716260	1	714150	745940	ENSG00000237491.4	RP11-206L10.9	0
1	718603	718694	1	714150	745940	ENSG00000237491.4	RP11-206L10.9	0
1	748129	748342	1	744989	753092	ENSG00000240453.1	RP11-206L10.10	0
1	753637	763328	1	752751	755714	ENSG00000177757.1	FAM87B	0
1	764689	765606	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	766599	767845	1	762988	795326	ENSG00000228794.4	RP11-206L10.11	0
1	861272	861885	1	860260	880455	ENSG00000187634.6	SAMD11	0
1	879948	904399	1	860260	880455	ENSG00000187634.6	SAMD11	0
1	905103	905127	1	901877	911745	ENSG00000187583.6	PLEKHN1	0
1	934627	935526	1	933842	935552	ENSG00000188290.6	HES4	0
1	936128	937046	1	933842	935552	ENSG00000188290.6	HES4	577
1	937559	937763	1	933842	935552	ENSG00000188290.6	HES4	2008
1	938615	938948	1	933842	935552	ENSG00000188290.6	HES4	3064
1	939731	940855	1	942956	943609	ENSG00000231702.2	RP11-54O7.10	2102
1	947858	952146	1	946877	948573	ENSG00000224969.1	RP11-54O7.11	0
1	955239	976351	1	955503	991996	ENSG00000188157.9	AGRN	0
1	977001	979021	1	955503	991996	ENSG00000188157.9	AGRN	0
1	980082	980318	1	955503	991996	ENSG00000188157.9	AGRN	0
1	982772	982872	1	955503	991996	ENSG00000188157.9	AGRN	0
1	987856	988473	1	955503	991996	ENSG00000188157.9	AGRN	0
1	1031716	1057394	1	1016698	1051741	ENSG00000131591.13	C1orf159	0
1	1100713	1101446	1	1102484	1103078	ENSG00000207730.1	MIR200B	1039
1	1151003	1178937	1	1151788	1167411	ENSG00000078808.12	SDF4	0
1	1184207	1218540	1	1184657	1186714	ENSG00000260179.1	RP5-902P8.12	0
1	1229760	1353906	1	1227256	1244989	ENSG00000131584.14	ACAP3	0
1	1371472	1372140	1	1370241	1378762	ENSG00000179403.10	VWA1	0
1	1405356	1416622	1	1385069	1406038	ENSG00000215915.5	ATAD3C	0
1	1417226	1417330	1	1407143	1433728	ENSG00000160072.15	ATAD3B	0
1	1419122	1419313	1	1407143	1433728	ENSG00000160072.15	ATAD3B	0
1	1419344	1419359	1	1407143	1433728	ENSG00000160072.15	ATAD3B	0
1	1424538	1424669	1	1407143	1433728	ENSG00000160072.15	ATAD3B	0
1	1426143	1426394	1	1407143	1433728	ENSG00000160072.15	ATAD3B	0
1	1445719	1452099	1	1447531	1470567	ENSG00000197785.9	ATAD3A	0
1	1453289	1453364	1	1447531	1470567	ENSG00000197785.9	ATAD3A	0
1	1453474	1453791	1	1447531	1470567	ENSG00000197785.9	ATAD3A	0
1	1456819	1457141	1	1447531	1470567	ENSG00000197785.9	ATAD3A	0
1	1464941	1465765	1	1447531	1470567	ENSG00000197785.9	ATAD3A	0
1	1468114	1468239	1	1447531	1470567	ENSG00000197785.9	ATAD3A	0
1	1468575	1468801	1	1447531	1470567	ENSG00000197785.9	ATAD3A	0
1	1471615	1519708	1	1470054	1475833	ENSG00000205090.4	TMEM240	0
1	1548242	1554624	1	1548638	1551175	ENSG00000272106.1	RP11-345P4.9	0
1	1554763	1554932	1	1550795	1566490	ENSG00000197530.8	MIB2	0
1	1555221	1556083	1	1550795	1566490	ENSG00000197530.8	MIB2	0
1	1585459	1585893	1	1570103	1590473	ENSG00000248333.3	CDK11B	0
1	1586589	1586920	1	1570103	1590473	ENSG00000248333.3	CDK11B	0
1	1587297	1587738	1	1570103	1590473	ENSG00000248333.3	CDK11B	0
1	1587945	1588887	1	1570103	1590473	ENSG00000248333.3	CDK11B	0
1	1589365	1589997	1	1570103	1590473	ENSG00000248333.3	CDK11B	0
1	1608576	1621962	1	1592439	1624167	ENSG00000189339.7	SLC35E2B	0
1	1622665	1622861	1	1592439	1624167	ENSG00000189339.7	SLC35E2B	0
1	1622992	1623190	1	1592439	1624167	ENSG00000189339.7	SLC35E2B	0
1	1650499	1650921	1	1633669	1655766	ENSG00000008128.18	CDK11A	0
1	1652298	1653161	1	1633669	1655766	ENSG00000008128.18	CDK11A	0
1	1653375	1653897	1	1633669	1655766	ENSG00000008128.18	CDK11A	0
1	1654567	1655086	1	1633669	1655766	ENSG00000008128.18	CDK11A	0
1	1655121	1655309	1	1633669	1655766	ENSG00000008128.18	CDK11A	0
1	1673688	1673919	1	1655777	1677431	ENSG00000215790.2	SLC35E2	0
1	1674080	1674229	1	1655777	1677431	ENSG00000215790.2	SLC35E2	0
1	1679596	1833309	1	1682171	1711896	ENSG00000008130.11	NADK	0
1	1839712	1840316	1	1846266	1849235	ENSG00000169885.5	CALML6	5951
1	1983357	1983907	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2017773	2018331	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2048835	2049188	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2050273	2050497	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2051397	2051511	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2052434	2053875	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2054361	2054508	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2055544	2055825	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2055853	2055984	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2065493	2065724	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2065818	2066028	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2066109	2069260	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2070581	2070746	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2071063	2071259	1	1981909	2117334	ENSG00000067606.11	PRKCZ	0
1	2119385	2119953	1	2115403	2144159	ENSG00000162585.12	C1orf86	0
1	2120775	2126514	1	2115403	2144159	ENSG00000162585.12	C1orf86	0
1	2131774	2132928	1	2115403	2144159	ENSG00000162585.12	C1orf86	0
1	2135008	2136063	1	2115403	2144159	ENSG00000162585.12	C1orf86	0
1	2137573	2137700	1	2115403	2144159	ENSG00000162585.12	C1orf86	0
1	2138273	2139266	1	2115403	2144159	ENSG00000162585.12	C1orf86	0
1	2150575	2251757	1	2143962	2152677	ENSG00000234396.3	RP11-181G12.4	0
1	2318533	2319064	1	2252192	2323146	ENSG00000116151.9	MORN1	0
1	2320406	2337504	1	2252192	2323146	ENSG00000116151.9	MORN1	0
1	2337850	2337852	1	2335736	2345236	ENSG00000157911.5	PEX10	0
1	2341737	2341873	1	2335736	2345236	ENSG00000157911.5	PEX10	0
1	2341911	2345750	1	2335736	2345236	ENSG00000157911.5	PEX10	0
1	2451596	2458456	1	2439472	2458039	ENSG00000157881.9	PANK4	0
1	2478535	2479496	1	2477904	2479399	ENSG00000272449.1	RP3-395M20.12	0
1	2479538	2479559	1	2477904	2479399	ENSG00000272449.1	RP3-395M20.12	140
1	2487042	2489423	1	2480859	2488470	ENSG00000238164.2	RP3-395M20.8	0
1	2516624	2517666	1	2512999	2516472	ENSG00000228037.1	RP3-395M20.9	153
1	2518628	2519042	1	2517930	2523408	ENSG00000157870.10	FAM213B	0
1	2519072	2519148	1	2517930	2523408	ENSG00000157870.10	FAM213B	0
1	2573248	2574507	1	2566915	2718286	ENSG00000215912.7	TTC34	0
1	2987300	2989085	1	2985732	3355685	ENSG00000142611.12	PRDM16	0
1	3446751	3446974	1	3405984	3528059	ENSG00000162591.11	MEGF6	0
1	3539617	3541327	1	3539254	3541307	ENSG00000238260.1	RP11-46F15.2	0
1	3541969	3542965	1	3541566	3547191	ENSG00000158109.10	TPRG1L	0
1	3557762	3558174	1	3546831	3569325	ENSG00000116213.11	WRAP73	0
1	3563917	3567113	1	3546831	3569325	ENSG00000116213.11	WRAP73	0
1	3569861	3570499	1	3569084	3653265	ENSG00000078900.10	TP73	0
1	3572762	3573790	1	3569084	3653265	ENSG00000078900.10	TP73	0
1	3660887	3664003	1	3652048	3663900	ENSG00000227372.6	TP73-AS1	0
1	3702717	3714386	1	3696284	3713068	ENSG00000130764.5	LRRC47	0
1	3766113	3778104	1	3728145	3773778	ENSG00000116198.8	CEP104	0
1	3778908	3779052	1	3773845	3802493	ENSG00000169598.11	DFFB	0
1	3806310	3817723	1	3805189	3816857	ENSG00000198912.6	C1orf174	0
1	6030741	6032376	1	5922371	6052533	ENSG00000131697.13	NPHP4	0
1	6034014	6035613	1	5922371	6052533	ENSG00000131697.13	NPHP4	0
1	6045306	6056849	1	5922371	6052533	ENSG00000131697.13	NPHP4	0
1	6056878	6056983	1	6051526	6161753	ENSG00000069424.10	KCNAB2	0
1	6058567	6059427	1	6051526	6161753	ENSG00000069424.10	KCNAB2	0
1	6060222	6060992	1	6051526	6161753	ENSG00000069424.10	KCNAB2	0
1	6061037	6061361	1	6051526	6161753	ENSG00000069424.10	KCNAB2	0
1	6085972	6092070	1	6051526	6161753	ENSG00000069424.10	KCNAB2	0
1	6237779	6270214	1	6161353	6240183	ENSG00000116254.13	CHD5	0
1	6282586	6282771	1	6280753	6296032	ENSG00000116237.11	ICMT	0
1	6282935	6282977	1	6280753	6296032	ENSG00000116237.11	ICMT	0
1	6283019	6283153	1	6280753	6296032	ENSG00000116237.11	ICMT	0
1	6283335	6287755	1	6280753	6296032	ENSG00000116237.11	ICMT	0
1	6289481	6290203	1	6280753	6296032	ENSG00000116237.11	ICMT	0
1	6290371	6296634	1	6280753	6296032	ENSG00000116237.11	ICMT	0
1	6316814	6318235	1	6306906	6321035	ENSG00000158292.6	GPR153	0
1	6318516	6318890	1	6306906	6321035	ENSG00000158292.6	GPR153	0
1	6319167	6319189	1	6306906	6321035	ENSG00000158292.6	GPR153	0
1	6319261	6320192	1	6306906	6321035	ENSG00000158292.6	GPR153	0
1	6329274	6329403	1	6323829	6454451	ENSG00000097021.15	ACOT7	0
1	6329793	6330934	1	6323829	6454451	ENSG00000097021.15	ACOT7	0
1	6331545	6334956	1	6323829	6454451	ENSG00000097021.15	ACOT7	0
1	6337426	6340021	1	6323829	6454451	ENSG00000097021.15	ACOT7	0
1	6340481	6340585	1	6323829	6454451	ENSG00000097021.15	ACOT7	0
1	6340595	6340702	1	6323829	6454451	ENSG00000097021.15	ACOT7	0
1	6360892	6361094	1	6323829	6454451	ENSG00000097021.15	ACOT7	0
1	6361703	6361718	1	6323829	6454451	ENSG00000097021.15	ACOT7	0
1	6398993	6462405	1	6323829	6454451	ENSG00000097021.15	ACOT7	0
1	6539073	6553884	1	6525652	6580121	ENSG00000171680.16	PLEKHG5	0
1	6554496	6555157	1	6525652	6580121	ENSG00000171680.16	PLEKHG5	0
1	6555490	6557041	1	6525652	6580121	ENSG00000171680.16	PLEKHG5	0
1	6592721	6592829	1	6580907	6614595	ENSG00000162408.10	NOL9	0
1	6594165	6595761	1	6580907	6614595	ENSG00000162408.10	NOL9	0
1	6596364	6598080	1	6580907	6614595	ENSG00000162408.10	NOL9	0
1	6599183	6599288	1	6580907	6614595	ENSG00000162408.10	NOL9	0
1	6604153	6615540	1	6580907	6614595	ENSG00000162408.10	NOL9	0
1	6638703	6643666	1	6615241	6640317	ENSG00000173662.15	TAS1R1	0
1	6644247	6645304	1	6640061	6649840	ENSG00000204859.7	ZBTB48	0
1	6648566	6663772	1	6640061	6649840	ENSG00000204859.7	ZBTB48	0
1	6663873	6663979	1	6650284	6674667	ENSG00000162413.12	KLHL21	0
1	6669094	6693753	1	6650284	6674667	ENSG00000162413.12	KLHL21	0
1	6712635	6728864	1	6693728	6761984	ENSG00000007923.11	DNAJC11	0
1	6730747	6730978	1	6693728	6761984	ENSG00000007923.11	DNAJC11	0
1	6731117	6731217	1	6693728	6761984	ENSG00000007923.11	DNAJC11	0
1	6732288	6732814	1	6693728	6761984	ENSG00000007923.11	DNAJC11	0
1	6732890	6732990	1	6693728	6761984	ENSG00000007923.11	DNAJC11	0
1	6733572	6771109	1	6693728	6761984	ENSG00000007923.11	DNAJC11	0
1	6836610	6952945	1	6843452	6844903	ENSG00000237436.1	RP11-312B8.1	0
1	7830747	7838807	1	7831329	7841992	ENSG00000049245.8	VAMP3	0
1	8012576	8046550	1	8014351	8046065	ENSG00000116288.8	PARK7	0
1	8060423	8097066	1	8063964	8086368	ENSG00000116285.8	ERRFI1	0
1	8154382	8154497	1	8086798	8183262	ENSG00000238290.1	RP11-431K24.1	0
1	8341869	8991333	1	8351717	8352323	ENSG00000251977.1	RNU6-991P	0
1	9175621	9175623	1	9159864	9189229	ENSG00000180758.10	GPR157	0
1	9176915	9179079	1	9159864	9189229	ENSG00000180758.10	GPR157	0
1	9179343	9181141	1	9159864	9189229	ENSG00000180758.10	GPR157	0
1	9181507	9183328	1	9159864	9189229	ENSG00000180758.10	GPR157	0
1	9184865	9189184	1	9159864	9189229	ENSG00000180758.10	GPR157	0
1	9200106	9253826	1	9211227	9211836	ENSG00000207865.1	MIR34A	0
1	9294738	9299600	1	9294834	9331896	ENSG00000049239.8	H6PD	0
1	9299966	9305982	1	9294834	9331896	ENSG00000049239.8	H6PD	0
1	9308754	9309767	1	9294834	9331896	ENSG00000049239.8	H6PD	0
1	9309998	9314687	1	9294834	9331896	ENSG00000049239.8	H6PD	0
1	9315621	9322322	1	9294834	9331896	ENSG00000049239.8	H6PD	0
1	9344042	9437721	1	9352939	9430091	ENSG00000171621.9	SPSB1	0
1	9599156	9614926	1	9599541	9645737	ENSG00000171612.6	SLC25A33	0
1	9615561	9615645	1	9599541	9645737	ENSG00000171612.6	SLC25A33	0
1	9616114	9616365	1	9599541	9645737	ENSG00000171612.6	SLC25A33	0
1	9621204	9621314	1	9599541	9645737	ENSG00000171612.6	SLC25A33	0
1	9621497	9622151	1	9599541	9645737	ENSG00000171612.6	SLC25A33	0
1	9624045	9624654	1	9599541	9645737	ENSG00000171612.6	SLC25A33	0
1	9624987	9625264	1	9599541	9645737	ENSG00000171612.6	SLC25A33	0
1	9648487	9658363	1	9648932	9675435	ENSG00000188807.8	TMEM201	0
1	9745919	9754736	1	9711790	9789672	ENSG00000171608.11	PIK3CD	0
1	9758095	9770882	1	9711790	9789672	ENSG00000171608.11	PIK3CD	0
1	9775366	9780080	1	9711790	9789672	ENSG00000171608.11	PIK3CD	0
1	9783850	9788365	1	9711790	9789672	ENSG00000171608.11	PIK3CD	0
1	9799892	9801935	1	9788584	9884584	ENSG00000171603.12	CLSTN1	0
1	9803300	9892802	1	9788584	9884584	ENSG00000171603.12	CLSTN1	0
1	9942277	9943314	1	9907834	9970394	ENSG00000178585.10	CTNNBIP1	0
1	9943574	9943693	1	9907834	9970394	ENSG00000178585.10	CTNNBIP1	0
1	9944965	9945606	1	9907834	9970394	ENSG00000178585.10	CTNNBIP1	0
1	9945957	9947909	1	9907834	9970394	ENSG00000178585.10	CTNNBIP1	0
1	9948252	9952308	1	9907834	9970394	ENSG00000178585.10	CTNNBIP1	0
1	9952611	9953608	1	9907834	9970394	ENSG00000178585.10	CTNNBIP1	0
1	9959755	9970707	1	9907834	9970394	ENSG00000178585.10	CTNNBIP1	0
1	10000744	10009022	1	9981673	10003465	ENSG00000162441.7	LZIC	0
1	10010323	10012084	1	10002981	10010532	ENSG00000228150.1	RP11-84A14.4	0
1	10012453	10012615	1	10003486	10046059	ENSG00000173614.9	NMNAT1	0
1	10012889	10013057	1	10003486	10046059	ENSG00000173614.9	NMNAT1	0
1	10084116	10160191	1	10092890	10241797	ENSG00000130939.14	UBE4B	0
1	10165727	10167742	1	10092890	10241797	ENSG00000130939.14	UBE4B	0
1	10167945	10169741	1	10092890	10241797	ENSG00000130939.14	UBE4B	0
1	10170189	10171987	1	10092890	10241797	ENSG00000130939.14	UBE4B	0
1	10261633	10353498	1	10270863	10442161	ENSG00000054523.12	KIF1B	0
1	10354508	10370587	1	10270863	10442161	ENSG00000054523.12	KIF1B	0
1	10371387	10373221	1	10270863	10442161	ENSG00000054523.12	KIF1B	0
1	10449754	10482697	1	10450059	10450853	ENSG00000265945.1	RN7SL721P	0
1	10489918	10493595	1	10489438	10490734	ENSG00000271989.1	RP4-736L20.3	0
1	10521328	10637438	1	10516079	10532583	ENSG00000160049.7	DFFA	0
1	10647353	10669735	1	10532345	10691315	ENSG00000142655.8	PEX14	0
1	10672309	10673597	1	10532345	10691315	ENSG00000142655.8	PEX14	0
1	10674150	10674692	1	10532345	10691315	ENSG00000142655.8	PEX14	0
1	10675701	10675973	1	10532345	10691315	ENSG00000142655.8	PEX14	0
1	10731774	10732031	1	10696161	10856707	ENSG00000130940.10	CASZ1	0
1	10733793	10738566	1	10696161	10856707	ENSG00000130940.10	CASZ1	0
1	10742547	10745660	1	10696161	10856707	ENSG00000130940.10	CASZ1	0
1	10747660	10754672	1	10696161	10856707	ENSG00000130940.10	CASZ1	0
1	11063362	11095289	1	11072414	11086296	ENSG00000120948.11	TARDBP	0
1	11116131	11123235	1	11114141	11120081	ENSG00000116649.5	SRM	0
1	11142696	11142829	1	11126175	11159938	ENSG00000171824.9	EXOSC10	0
1	11142832	11142865	1	11126175	11159938	ENSG00000171824.9	EXOSC10	0
1	11153371	11153578	1	11126175	11159938	ENSG00000171824.9	EXOSC10	0
1	11153615	11153826	1	11126175	11159938	ENSG00000171824.9	EXOSC10	0
1	11155796	11156037	1	11126175	11159938	ENSG00000171824.9	EXOSC10	0
1	11156794	11156981	1	11126175	11159938	ENSG00000171824.9	EXOSC10	0
1	11157005	11160737	1	11126175	11159938	ENSG00000171824.9	EXOSC10	0
1	11220607	11220769	1	11166092	11322564	ENSG00000198793.8	MTOR	0
1	11244611	11256178	1	11166092	11322564	ENSG00000198793.8	MTOR	0
1	11310577	11311437	1	11166092	11322564	ENSG00000198793.8	MTOR	0
1	11319131	11323495	1	11166092	11322564	ENSG00000198793.8	MTOR	0
1	11332555	11347824	1	11333263	11356606	ENSG00000120942.9	UBIAD1	0
1	11347965	11349627	1	11333263	11356606	ENSG00000120942.9	UBIAD1	0
1	11350242	11350781	1	11333263	11356606	ENSG00000120942.9	UBIAD1	0
1	11712544	11712983	1	11707924	11715842	ENSG00000116661.9	FBXO2	0
1	11715413	11715611	1	11707924	11715842	ENSG00000116661.9	FBXO2	0
1	11715705	11715743	1	11707924	11715842	ENSG00000116661.9	FBXO2	0
1	11715744	11715865	1	11707924	11715842	ENSG00000116661.9	FBXO2	0
1	11740268	11740991	1	11734037	11751707	ENSG00000116670.10	MAD2L2	0
1	11796310	11803322	1	11796141	11815359	ENSG00000177674.11	AGTRAP	0
1	11852430	11884101	1	11845280	11866977	ENSG00000177000.6	MTHFR	0
1	11977091	11977190	1	11979148	11986485	ENSG00000116685.11	KIAA2013	1959
1	11977218	11977294	1	11979148	11986485	ENSG00000116685.11	KIAA2013	1855
1	11977379	11986858	1	11979148	11986485	ENSG00000116685.11	KIAA2013	0
1	11993749	12003309	1	11994262	12036095	ENSG00000083444.12	PLOD1	0
1	12003798	12003909	1	11994262	12036095	ENSG00000083444.12	PLOD1	0
1	12039694	12053186	1	12040238	12074071	ENSG00000116688.12	MFN2	0
1	12065490	12066053	1	12040238	12074071	ENSG00000116688.12	MFN2	0
1	12071957	12072098	1	12040238	12074071	ENSG00000116688.12	MFN2	0
1	12078906	12083587	1	12079523	12092602	ENSG00000116691.6	MIIP	0
1	12123350	12123486	1	12123434	12204764	ENSG00000120949.10	TNFRSF8	0
1	12123816	12125170	1	12123434	12204764	ENSG00000120949.10	TNFRSF8	0
1	12125407	12125600	1	12123434	12204764	ENSG00000120949.10	TNFRSF8	0
1	12218387	12258859	1	12227060	12269785	ENSG00000028137.12	TNFRSF1B	0
1	12259261	12259795	1	12227060	12269785	ENSG00000028137.12	TNFRSF1B	0
1	12289329	12297928	1	12290124	12572599	ENSG00000048707.9	VPS13D	0
1	12298528	12300633	1	12290124	12572599	ENSG00000048707.9	VPS13D	0
1	12301490	12301946	1	12290124	12572599	ENSG00000048707.9	VPS13D	0
1	12334713	12355064	1	12290124	12572599	ENSG00000048707.9	VPS13D	0
1	12357013	12357287	1	12290124	12572599	ENSG00000048707.9	VPS13D	0
